PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PEOPLE_DEATH_NEW_COUNT,COUNTRY_SHORT_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
7981,5/8/20,13,Egypt,393,482
56342,5/8/20,103,India,3390,1886
25837,5/8/20,30,Pakistan,1764,594
7588,5/7/20,17,Egypt,387,469
24073,5/7/20,38,Pakistan,1523,564
11719,5/7/20,3,Bangladesh,790,186
125218,5/7/20,615,Brazil,10503,8536
52952,5/7/20,89,India,3561,1783
12438,5/7/20,23,Indonesia,367,895
797,5/7/20,0,Sri Lanka,26,9
12071,5/6/20,8,Indonesia,484,872
22550,5/6/20,40,Pakistan,1049,526
10929,5/6/20,1,Bangladesh,786,183
49391,5/6/20,126,India,2958,1694
771,5/6/20,1,Sri Lanka,16,9
114715,5/6/20,600,Brazil,6935,7921
7201,5/6/20,16,Egypt,388,452
10143,5/5/20,5,Bangladesh,688,182
